5'nucleotidase increased	5'nucléotidase augmentée
Hepatitis fulminant	Hépatite fulminante
Hepatitis granulomatous	Hépatite granulomateuse
Hepatitis symptom	Symptôme d'hépatite
Hepatitis toxic	Hépatite toxique
Hepatitis viral	Hépatite virale
Hepato-lenticular degeneration	Dégénérescence hépato-lenticulaire
Hepatobiliary disease	Maladie hépatobiliaire
Hepatoblastoma	Hépatoblastome
Hepatocellular adenoma	Adénome hépatocellulaire
Hepatocellular carcinoma	Carcinome hépatocellulaire
Hepatocellular injury	Lésion hépatocellulaire
Hepatomegaly	Hépatomégalie
Hepatorenal syndrome	Syndrome hépatorénal
Hepatosplenic T-cell lymphoma	Lymphome hépatosplénique ? cellules T
Hepatosplenic candidiasis	Candidose hépatosplénique
Hepatosplenomegaly	Hépatosplénomégalie
Hepatotoxicity	Hépatotoxicité
Hereditary angioedema	Angioed?me héréditaire
Hereditary coproporphyria	Coproporphyrie héréditaire
Hereditary optic atrophy	Atrophie optique héréditaire
Hernia	Hernie
Hernia congenital	Hernie congénitale
Hernia pain	Hernie douloureuse
Heroin addiction	Dépendance ? l'héro?ne
Herpangina	Herpangina
Herpes NOS	Herp?s NOS
Herpes dermatitis	Dermatite herpétique
Herpes labialis	Herp?s labial
Herpes simplex	L'herp?s simplex
Herpes simplex dermatitis	Dermatite ? herp?s simplex
Herpes simplex encephalitis	Encéphalite ? herp?s simplex
Herpes simplex hepatitis	Hépatite ? herp?s simplex
Herpes virus infection	Infection par le virus de l'herp?s
Herpes zoster	Zona
Herpes zoster disseminated	Le zona disséminé
Herpes zoster keratitis	Herp?s zoster kératite
Heterozygous familial hypercholesterolemia	Hypercholestérolémie familiale hétérozygote
Hiatus hernia	Hernie hiatale
Hiccups	Hoquet
Hidradenitis	Hidradénite
High cholesterol	Taux de cholestérol élevé
High density lipoprotein decreased	Lipoprotéines de haute densité diminuées
High density lipoprotein increased	Augmentation des lipoprotéines de haute densité
High frequency deafness	Surdité haute fréquence
High turnover osteopathy	Ostéopathie ? renouvellement élevé
High-pitched crying	Pleurs aigus
Hip dislocation	Luxation de la hanche
Hip dysplasia	Dysplasie de la hanche
Hip fracture	Fracture de la hanche
Hirsutism	Hirsutisme
Histiocytosis	Histiocytose
Histiocytosis X of lung	Histiocytose X du poumon
Histiocytosis haematophagic	Histiocytose hématophage
Histoplasmosis	Histoplasmose
HIV associated nephropathy	Néphropathie associée au VIH
HIV infection	Infection par le VIH
Hoarseness	Enrouement
Hodgkin's disease	la maladie de Hodgkin
Hodgkin's disease lymphocyte depletion type stage unspecified	Stade de type de déplétion lymphocytaire de la maladie de Hodgkin, sans précision
Hodgkin's disease lymphocyte predominance type stage unspecified	Stade de type de prédominance lymphocytaire de la maladie de Hodgkin non spécifié
Hoigne's syndrome	Syndrome de Hoigne
Homicidal ideation	Idée homicide
Homocystinuria	Homocystinurie
Homozygous familial hypercholesterolaemia	Hypercholestérolémie familiale homozygote
Hookworm infection	Infection par l'ankylostome
Hordeolum	Hordeolum
Hormone level abnormal	Niveau hormonal anormal
Hormone-dependent prostate cancer	Cancer de la prostate hormono-dépendant
Hormone-refractory prostate cancer	Cancer de la prostate réfractaire aux hormones
Horner's syndrome	Syndrome de Horner
Hostility	Hostilité
Hot dry skin	Peau s?che et chaude
Hot flush	Rin?age ? chaud
House dust allergy	Allergie aux poussi?res domestiques
Human herpesvirus 6 infection	Infection par l'herp?svirus humain 6
Human immunodeficiency virus type	Type de virus d'immunodéficience humaine
Humerus fracture	Fracture de l'humérus
Hunger	Faim
Hunger abnormal	Faim anormale
Huntington's disease	Maladie de Huntington
Hydatidiform mole	Taupe hydatidiforme
Hydraemia	Hydraemia
Hydrocele	Hydroc?le
Hydrocephalus	Hydrocéphalie
Hydrocephalus acquired	Acquisition de l'hydrocéphalie
Hydrocortisone decreased	L'hydrocortisone a diminué
Hydrometra	Hydrom?tre
Hydronephrosis	Hydronéphrose
Hydrops foetalis	Hydrops foetalis
Hydrothorax	Hydrothorax
Hydroureter	Hydroureter
Hyperacusis	Hyperacousie
Hyperadrenocorticism	Hyperadrénocorticisme
Hyperaemia	Hyperémie
Hyperaesthesia	Hyperesthésie
Hyperalbuminaemia	Hyperalbuminémie
Hyperaldosteronism	Hyperaldostéronisme
Hyperammonaemia	Hyperammoniémie
Hyperammonaemic encephalopathy	Encéphalopathie hyperammoniémique
Hyperamylasaemia	Hyperamylasémie
Hyperbilirubinaemia	Hyperbilirubinémie
Hyperbilirubinemia aggravated	Hyperbilirubinémie aggravée
Hypercalcaemia	Hypercalcémie
Hypercalcaemia of malignancy	Hypercalcémie de malignité
Hypercalciuria	Hypercalciurie
Hypercapnia	Hypercapnie
Hyperchloraemia	Hyperchlorémie
Hyperchlorhydria	Hyperchlorhydrie
Hypercholesterolaemia	Hypercholestérolémie
Hypercholesterolemia aggravated	Hypercholestérolémie aggravée
Hyperchylomicronaemia	Hyperchylomicronémie
Hypercoagulation	Hypercoagulation
Hyperemesis	Hyperém?se
Hyperemesis gravidarum	Hyperém?se gravidique
Hypereosinophilia	Hyperéosinophilie
Hypereosinophilic syndrome	Syndrome hyperéosinophile
Hyperexcitation	Hyperexcitation
Hyperfibrinogenaemia	Hyperfibrinogenaemia
Hypergammaglobulinaemia	Hypergammaglobulinémie
Hypergastrinaemia	Hypergastrinémie
Hyperglycaemia	Hyperglycémie
Hyperhemoglobinemia	Hyperhémoglobinémie
Hyperhidrosis	Hyperhidrose
Hyperinsulinism	Hyperinsulinisme
Hyperkalaemia	Hyperkaliémie
Hyperkaliuria	Hyperkaliurie
Hyperkeratosis	Hyperkératose
Hyperkinesia	Hyperkinésie
Hyperkinetic heart syndrome	Syndrome cardiaque hyperkinétique
Hyperlactacidaemia	Hyperlactacidémie
Hyperlipidaemia	Hyperlipidémie
Hyperlipoproteinemia	Hyperlipoprotéinémie
Hypermagnesaemia	Hypermagnésémie
Hypermetabolism	Hypermétabolisme
Hypermethioninaemia	Hyperméthioninémie
Hypernatraemia	Hypernatrémie
Hyperostosis	Hyperostose
Hyperoxaluria	Hyperoxalurie
Hyperparathyroidism	Hyperparathyro?die
Hyperparathyroidism primary	Hyperparathyro?die primaire
Hyperparathyroidism secondary	Hyperparathyro?die secondaire
Hyperpathia	Hyperpathie
Hyperphagia	Hyperphagie
Hyperphosphataemia	Hyperphosphatémie
Hyperplasia	Hyperplasie
Hyperplasia adrenal	Hyperplasie surrénale
Hyperplasia erythroid	Hyperplasie érythro?de
Hyperpnea	Hyperpnée
Hyperprolactinaemia	Hyperprolactinémie
Hyperproteinaemia	Hyperprotéinémie
Hyperpyrexia	Hyperpyrexie
Hyperreflexia	Hyperréflexie
Hypersensation skin	Peau hypersensible
Hypersensitive syndrome	Syndrome hypersensible
Hypersensitivity	Hypersensibilité
Hypersexuality	Hypersexualité
Hypersomnia	Hypersomnie
Hypersplenism	Hypersplénisme
Hypertension	Hypertension
Hypertension paroxysmal	Hypertension paroxystique
Hypertension worsened	L'hypertension s'aggrave
Hypertensive	Hypertendu
Hypertensive crisis	Crise d'hypertension
Hypertensive emergency	Urgence hypertensive
Hypertensive encephalopathy	Encéphalopathie hypertensive
Hypertensive episode	Épisode hypertensif
Hypertensive nephropathy	Néphropathie hypertensive
Hyperthyroidism	Hyperthyro?die
Hypertonia	Hypertonie
Hypertonic bladder	Vessie hypertonique
Hypertonicity	Hypertonicité
Hypertransaminasaemia	Hypertransaminasaemia
Hypertrichosis	Hypertrichose
Hypertriglyceridaemia	Hypertriglycéridémie
Hypertrophic cardiomyopathy	Cardiomyopathie hypertrophique
Hypertrophic osteoarthropathy	Arthrose hypertrophique
Hypertrophic scar	Cicatrice hypertrophique
Hypertrophy	Hypertrophie
Hypertrophy of breast	Hypertrophie du sein
Hyperuricaemia	Hyperuricémie
Hyperuricosuria	Hyperuricosurie
Hyperventilation	Hyperventilation
Hypervigilance	Hypervigilance
Hyperviscosity syndrome	Syndrome d'hyperviscosité
Hypervitaminosis A	Hypervitaminose A
Hypervitaminosis D	Hypervitaminose D
Hyphaema	Hypha?me
Hypnagogic hallucination	Hallucination hypnagogique
Hypnopompic hallucination	Hallucination hypnopompique
Hypoactive sexual desire disorder	Trouble du désir sexuel hypoactif
Hypoaesthesia	Hypoesthésie
Hypoaesthesia eye	Oeil d'hypoesthésie
Hypoaesthesia facial	Soin du visage hypoesthésie
Hypoaesthesia oral	Hypoesthésie orale
Hypoalbuminaemia	Hypoalbuminémie
Hypoaldosteronism	Hypoaldostéronisme
Hypoalgesia	Hypoalgésie
Hypocalcaemia	Hypocalcémie
Hypocalcemic tetany	Tétanie hypocalcémique
Hypocalciuria	Hypocalciurie
Hypocapnia	Hypocapnie
Hypochloraemia	Hypochlorémie
Hypocholesterolaemia	Hypocholestérolémie
Hypochondriasis	Hypocondrie
Hypochromasia	Hypochromasia
Hypochromic anaemia	Anémie hypochromique
Hypochromic microcytic anemia	Anémie microcytaire hypochromique
Hypoesthesia tongue	Langue d'hypoesthésie
Hypofibrinogenaemia	Hypofibrinogenaemia
Hypogammaglobulinaemia	Hypogammaglobulinémie
Hypogeusia	Hypogeusia
Hypoglycaemia	Hypoglycémie
Hypoglycaemia neonatal	Hypoglycémie néonatale
Hypoglycaemic coma	Coma hypoglycémique
Hypoglycaemic episode	Épisode hypoglycémique
Hypoglycaemic seizure	Crise hypoglycémique
Hypoglycaemic unconsciousness	Inconscience hypoglycémique
Hypoglycemic reaction	Réaction hypoglycémique
Hypogonadism	Hypogonadisme
Hypogonadism female	Hypogonadisme féminin
Hypogonadism male	Hypogonadisme masculin
Hypohidrosis	Hypohidrose
Hypokalaemia	Hypokaliémie
Hypokinesia	Hypokinésie
Hypolipidaemia	Hypolipidémie
Hypomagnesaemia	Hypomagnésémie
Hypomania	Hypomania
Hypomenorrhoea	Hypoménorrhée
Hyponatraemia	Hyponatrémie
Hyponatraemic	Hyponatrémique
Hypoparathyroidism	Hypoparathyro?die
Hypoperfusion	Hypoperfusion
Hypophagia	Hypophagie
Hypophosphataemia	Hypophosphatémie
Hypophosphataemic rickets	Rachitisme hypophosphatémique
Hypopituitarism	Hypopituitarisme
Hypoplasia enamel	Émail hypoplasie
Hypoplasia erythroid	Hypoplasie érythro?de
Hypoplastic anaemia	Anémie hypoplasique
Hypopnea syndrome	Syndrome d'hypopnée
Hypopnoea	Hypopnée
Hypoproteinaemia	Hypoprotéinémie
Hypoprothrombinaemia	Hypoprothrombinémie
Hypopyon	Hypopyon
Hyporeflexia	Hyporeflexie
Hyposmia	Hyposmie
Hyposthenuria	Hyposthénurie
Hypotension	Hypotension
Hypotension asymptomatic	Hypotension asymptomatique
Hypotension orthostatic symptomatic	Hypotension orthostatique symptomatique
Hypotension symptomatic	Hypotension symptomatique
Hypotensive	Hypotensive
Hypothermia	Hypothermie
Hypothrombinaemia	Hypothrombinémie
Hypothyroidism	Hypothyro?die
Hypotonia	Hypotonie
Hypotonia neonatal	Hypotonie néonatale
Hypotonic-hyporesponsive episode	Épisode hypotonique-hyporéactif
Hypotony of eye	Hypotonie de l'?il
Hypotrichosis	Hypotrichose
Hypouricaemia	Hypouricémie
Hypoventilation	Hypoventilation
Hypovitaminosis	Hypovitaminose
Hypovolaemia	Hypovolémie
Hypovolaemic shock	Choc hypovolémique
Hypoxemia	Hypoxémie
Hypoxia	Hypoxie
Hypoxic-ischaemic encephalopathy	Encéphalopathie hypoxique-ischémique
Hypsarrhythmia	Hypsarythmie
Hysteria	Hystérie
Ichthyosis	Ichtyose
Ichthyosis acquired	Ichtyose acquise
Ichthyosis vulgaris	Ichtyose vulgaire
Idiopathic edema	?d?me idiopathique
Idiopathic generalised epilepsy	Épilepsie généralisée idiopathique
Idiopathic hirsutism	Hirsutisme idiopathique
Idiopathic hypertrophic subaortic stenosis	Sténose sous-aortique hypertrophique idiopathique
Idiopathic pneumonia syndrome	Syndrome de pneumonie idiopathique
Idiopathic pulmonary arterial hypertension	Hypertension artérielle pulmonaire idiopathique
Idiopathic pulmonary fibrosis	Fibrose pulmonaire idiopatique
Idiopathic thrombocytopenia	Thrombocytopénie idiopathique
Idiopathic thrombocytopenic purpura	Purpura thrombocytopénique idiopathique
Idiopathic torsion dystonia	Dystonie de torsion idiopathique
Idiosyncratic drug reaction	Réaction médicamenteuse idiosyncratique
IIIrd nerve paralysis	IIIe paralysie nerveuse
Ileal obstruction	Obstruction iléale
Ileal perforation	Perforation iléale
Ileal ulcer	Ulc?re iléal
Ileitis	Ileitis
Ileitis regional	Ileitis régional
Ileus	Ileus
Ileus paralytic	Iléus paralytique
Ill-defined disorder	Trouble mal défini
Illusion	Illusion
Imbalance hormonal	Déséquilibre hormonal
Immediate post-injection reaction	Réaction post-injection immédiate
Imminent abortion	Avortement imminent
Immobile	Immobile
Immune complex reaction	Réaction complexe immunitaire
Immune status	Statut immunitaire
Immune system disorder	Trouble du syst?me immunitaire
Immune-mediated necrotising myopathy	Myopathie nécrosante ? médiation immunitaire
Immunocompromised	Immunodéprimé
Immunodeficiency	Immunodéficience
Immunodeficiency common variable	Variable commune d'immunodéficience
Immunoglobulin G low	Immunoglobuline G faible
Immunoglobulins decreased	Les immunoglobulines ont diminué
Immunoglobulins increased	Augmentation des immunoglobulines
Immunology test	Test d'immunologie
Immunosuppressant drug level increased	Augmentation du niveau de médicament immunosuppresseur
Immunosuppression	Immunosuppression
Impaired fasting glucose	Glycémie ? jeun altérée
Impaired gastric emptying	Vidange gastrique altérée
Impaired healing	Guérison altérée
Impairment of attention	Dépréciation de l'attention
Impatience	Impatience
Imperforate hymen	Imperforation d'hymen
Impetigo	Impétigo
Implant breakage	Rupture d'implant
Implant expulsion	Expulsion d'implant
Implant infection	Infection d'implant
Implant site pain	Douleur au site implantaire
Implant site reaction	Réaction au site implantaire
Implantation complication	Complication d'implantation
Imprisonment	Emprisonnement
Impulse-control disorder	Trouble du contrôle des impulsions
Inappropriate affect	Affect inapproprié
Inappropriate antidiuretic hormone secretion	Sécrétion inappropriée d'hormone antidiurétique
Inborn error of metabolism	Erreur innée du métabolisme
Incessant ventricular tachycardia	Tachycardie ventriculaire incessante
Incision site complication	Complication du site d'incision
Incision site haematoma	Hématome au site d'incision
Incision site haemorrhage	Hémorragie au site d'incision
Incision site oedema	?d?me au site d'incision
Incision site pain	Douleur au site d'incision
Incisional hernia	Hernie incisive
Inclusion conjunctivitis	Conjonctivite d'inclusion
Incoherent	Incohérent
Incomplete bladder emptying	Vidange incompl?te de la vessie
Incomplete precocious puberty	Puberté précoce incompl?te
Incontinence	Incontinence
Increased activity	Activité accrue
Increased agitation	Agitation accrue
Increased anticoagulant effect	Effet anticoagulant accru
Increased appetite	Augmentation de l'appétit
Increased bronchial secretion	Augmentation de la sécrétion bronchique
Increased effect	Effet accru
Increased insulin requirement	Augmentation des besoins en insuline
Increased prolactin level	Augmentation du niveau de prolactine
Increased skin sensitivity	Augmentation de la sensibilité cutanée
Increased tendency to bruise	Tendance accrue aux ecchymoses
Increased thirst	Augmentation de la soif
Increased upper airway secretion	Augmentation de la sécrétion des voies aériennes supérieures
Increased viscosity of bronchial secretion	Augmentation de la viscosité de la sécrétion bronchique
Induration	Induration
Inevitable abortion	Avortement inévitable
Infantile colic	Colique infantile
Infantile spasms	Spasmes infantiles
Infarction	Infarctus
Infarction mesenteric	Infarctus mésentérique
Infected bites	Morsures infectées
Infected cyst	Kyste infecté
Infection	Infection
Infection induced	Infection induite
Infection mixed	Infection mixte
Infection parasitic	Infection parasitaire
Infection pseudomonas aeruginosa	Infection pseudomonas aeruginosa
Infection reactivation	Réactivation de l'infection
Infection susceptibility increased	La sensibilité aux infections a augmenté
Infectious meningitis	Méningite infectieuse
Infectious mononucleosis	Mononucléose infectieuse
Infectious peritonitis	Péritonite infectieuse
Infectious pneumonitis	Pneumonite infectieuse
Infectious thyroiditis	Thyro?dite infectieuse
Infective myositis	Myosite infectieuse
Infective otitis externa	Otite externe infectieuse
Infective tenosynovitis	Ténosynovite infectieuse
Inferior myocardial infarction	Infarctus du myocarde inférieur
Inferior vena cava syndrome	Syndrome de la veine cave inférieure
Infertility	Infertilité
Infertility female	Infertilité féminine
Infertility male	Infertilité masculine
Infestation	Infestation
Infestation NOS	Infestation SAI
Inflammation	Inflammation
Inflammation localised	Inflammation localisée
Inflammatory bowel disease	Maladie inflammatoire de l'intestin
Inflammatory swelling	Gonflement inflammatoire
Inflicted injury	Blessure infligée
Influenza	Grippe
Influenza A virus infection	Infection par le virus de la grippe A
Influenza like illness	Maladie de type grippal
Influenza viral infections	Infections virales grippales
Influenza-like symptoms	Symptômes pseudo-grippaux
Infrequent bowel movements	Mouvements intestinaux peu fréquents
Infusion related pain	Douleur liée ? la perfusion
Infusion related reaction	Réaction liée ? la perfusion
Infusion site burning	Br?lure du site de perfusion
Infusion site erythema	Éryth?me au site de perfusion
Infusion site extravasation	Extravasation du site de perfusion
Infusion site hypersensitivity	Hypersensibilité au site de perfusion
Infusion site induration	Induration du site de perfusion
Infusion site infection	Infection au site de perfusion
Infusion site inflammation	Inflammation au site de perfusion
Infusion site irritation	Irritation du site de perfusion
Infusion site oedema	?d?me au site de perfusion
Infusion site pain	Douleur au point de perfusion
Infusion site paraesthesia	Paresthésie au site de perfusion
Infusion site phlebitis	Phlébite au point de perfusion
Infusion site pruritus	Prurit au site de perfusion
Infusion site rash	Éruption cutanée au site de perfusion
Infusion site reaction	Réaction au site de perfusion
Infusion site reactions	Réactions au site de perfusion
Infusion site swelling	Gonflement au site de perfusion
Infusion site thrombophlebitis	Thrombophlébite au site de perfusion
Infusion site thrombosis	Thrombose au site de perfusion
Infusion site urticaria	Urticaire au site de perfusion
Infusion site warmth	Chaleur au point de perfusion
Ingrowing nail	Ongle incarnant
Ingrown hair	Les poils incarnés
Inguinal hernia	Hernie inguinale
Inhibition of enzyme activity	Inhibition de l'activité enzymatique
Initial insomnia	Insomnie initiale
Injection site abscess	Abc?s au site d'injection
Injection site abscess sterile	Abc?s au point d'injection stérile
Injection site atrophy	Atrophie au site d'injection
Injection site bruising	Ecchymoses au site d'injection
Injection site burning	Br?lure au site d'injection
Injection site cellulitis	Cellulite au site d'injection
Injection site coldness	Froideur au point d'injection
Injection site cyst	Kyste au site d'injection
Injection site dermatitis	Dermatite au site d'injection
Injection site discolouration	Décoloration du site d'injection
Injection site discomfort	G?ne au point d'injection
Injection site dryness	Sécheresse du site d'injection
Injection site erythema	Éryth?me au site d'injection
Injection site exfoliation	Exfoliation au site d'injection
Injection site extravasation	Extravasation au site d'injection
Injection site fibrosis	Fibrose au site d'injection
Injection site granuloma	Granulome au site d'injection
Injection site haematoma	Hématome au site d'injection
Injection site haemorrhage	Hémorragie au site d'injection
Injection site hypersensitivity	Hypersensibilité au site d'injection
Injection site hypertrophy	Hypertrophie au site d'injection
Injection site induration	Induration au site d'injection
Injection site infection	Infection au site d'injection
Injection site inflammation	Inflammation au site d'injection
Injection site injury	Blessure au site d'injection
Injection site irritation	Irritation au point d'injection
Injection site joint pain	Douleurs articulaires au site d'injection
Injection site mass	Masse du site d'injection
Injection site necrosis	Nécrose au site d'injection
Injection site nodule	Nodule au site d'injection
Injection site pain	Douleur au site d'injection
Injection site pallor	P?leur du site d'injection
Injection site paraesthesia	Paresthésie au site d'injection
Injection site phlebitis	Phlébite au site d'injection
Injection site pigmentation changes	Changements de pigmentation au site d'injection
Injection site pruritus	Prurit au site d'injection
Injection site reaction	Réaction au site d'injection
Injection site stinging	Piq?re au site d'injection
Injection site swelling	Gonflement au site d'injection
Injection site tenderness	Sensibilité au site d'injection
Injection site thrombosis	Thrombose au site d'injection
Injection site ulcer	Ulc?re au point d'injection
Injection site urticaria	Urticaire au site d'injection
Injection site vesicles	Vésicules au site d'injection
Injection site warmth	Chaleur au point d'injection
Injury	Blessure
Injury asphyxiation	Asphyxie par blessure
Injury associated with device	Blessure associée ? l'appareil
Injury corneal	Blessure cornéenne
Inner ear disorder	Trouble de l'oreille interne
Inner ear infection	Infection de l'oreille interne
Insect bite NOS	Piq?re d'insecte NSA
Insomnia	Insomnie
Insomnia NEC	Insomnie NEC
Insomnia exacerbated	L'insomnie exacerbée
Instability vasomotor	Instabilité vasomotrice
Instillation site irritation	Irritation du site d'instillation
Instillation site pain	Douleur au site d'instillation
Insulin C-peptide decreased	L'insuline C-peptide a diminué
Insulin C-peptide increased	Augmentation de l'insuline C-peptide
Insulin autoimmune syndrome	Syndrome auto-immun de l'insuline
Insulin hypoglycemia	Hypoglycémie ? l'insuline
Insulin resistance	Résistance ? l'insuline
Insulin resistant diabetes	Diab?te insulino-résistant
Insulinoma	Insulinome
Intentional drug misuse	Abus intentionnel de drogues
Intentional injury	Blessure intentionnelle
Intentional misuse	Détournement intentionnel
Intentional self-injury	Auto-blessure intentionnelle
Intercapillary glomerulosclerosis	Glomérulosclérose intercapillaire
Intermittent claudication	La claudication intermittente
Intermittent explosive disorder	Le trouble explosif intermittent
Intermittent fever	Fi?vre intermittente
Intermittent headache	Céphalées intermittentes
Internal hordeolum	Hordeolum interne
International normalised ratio abnormal	Ratio normalisé international anormal
International normalised ratio decreased	Le ratio normalisé international a diminué
International normalised ratio increased	Augmentation du ratio normalisé international
Interstitial lung disease	Maladie pulmonaire interstitielle
Interstitial pneumonia	Pneumonie interstitielle
Intertrigo	Intertrigo
Intertrigo candida	Intertrigo candida
Intervertebral disc degeneration	Dégénérescence du disque intervertébral
Intervertebral disc disorder	Trouble du disque intervertébral
Intervertebral disc protrusion	Protrusion de disque intervertébral
Intervertebral discitis	Discite intervertébrale
Intestinal atony	Atonie intestinale
Intestinal cramps	Crampes intestinales
Intestinal diaphragm disease	Maladie du diaphragme intestinal
Intestinal functional disorder	Trouble fonctionnel intestinal
Intestinal haemorrhage	Hémorragie intestinale
Intestinal hypomotility	Hypomotilité intestinale
Intestinal infarction	Infarctus intestinal
Intestinal infection due to staphylococcus	Infection intestinale due ? un staphylocoque
Intestinal infections	Infections intestinales
Intestinal ischaemia	Ischémie intestinale
Intestinal mass	Masse intestinale
Intestinal necrosis	Nécrose intestinale
Intestinal obstruction	Obstruction intestinale
Intestinal parasitism, unspecified	Parasitisme intestinal, sans précision
Intestinal perforation	Perforation intestinale
Intestinal polyp	Polype intestinal
Intestinal pseudo-obstruction	Pseudo-obstruction intestinale
Intestinal stenosis	Sténose intestinale
Intestinal stoma complication	Complication de la stomie intestinale
Intestinal ulcer	Ulc?re intestinal
Intoxication	Intoxication
Intra-abdominal haematoma	Hématome intra-abdominal
Intra-abdominal haemorrhage	Hémorragie intra-abdominale
Intracardiac thrombus	Thrombus intracardiaque
Intracranial aneurysm	Anévrisme intracr?nien
Intracranial pressure increased	Augmentation de la pression intracr?nienne
Intracranial venous sinus thrombosis	Thrombose du sinus veineux intracr?nien
Intractable epilepsy	Épilepsie intraitable
Intractable hiccups	Hoquet intraitable
Intractable pain	Douleur intraitable
Intraductal proliferative breast lesion	Lésion mammaire proliférative intra-canalaire
Intranasal hypoaesthesia	Hypoesthésie intranasale
Intraocular pressure increased	Augmentation de la pression intraoculaire
Intraoperative floppy iris syndrome	Syndrome de l'iris de disquette peropératoire
Intraoperative hemorrhage	Hémorragie peropératoire
Intraoperative hypotension	Hypotension peropératoire
Intraspinal bleeding	Saignement intrarachidien
Intravascular large B-cell lymphoma	Lymphome intravasculaire ? grandes cellules B
Intraventricular haemorrhage	Hémorragie intraventriculaire
Intussusception	Intussusception
Invasive bronchopulmonary aspergillosis	Aspergillose broncho-pulmonaire invasive
Invasive candidiasis	Candidose invasive
Involutional depression	Dépression involutive
Iodism	Iodisme
Iridocyclitis	Iridocyclite
Iris adhesions	Adhérences de l'iris
Iris disorder	Trouble de l'iris
Iris hyperpigmentation	Hyperpigmentation de l'iris
Iritis	Iritis
Iron binding capacity total	Capacité totale de liaison au fer
Iron deficiency	Carence en fer
Iron deficiency anaemia	Anémie ferriprive
Iron overload	Surcharge en fer
Irreversible renal failure	Insuffisance rénale irréversible
Irritability	Irritabilité
Irritable bowel syndrome	Syndrome de l'intestin irritable
Irritation gum	Gomme irritante
Ischaemia	Ischémie
Ischaemic cardiomyopathy	Cardiomyopathie ischémique
Ischaemic cerebral infarction	Infarctus cérébral ischémique
Ischaemic coronary artery disorders	Troubles coronariens ischémiques
Ischaemic hepatitis	Hépatite ischémique
Ischaemic neuropathy	Neuropathie ischémique
Ischaemic stroke	AVC ischémique
Ischial neuralgia	Névralgie ischiatique
Itch burning	Démangeaisons br?lantes
Itchy scalp	Démangeaisons du cuir chevelu
IUD complication	Complication du DIU
IUD expelled	DIU expulsé
Jacksonian seizures	Crises jacksoniennes
Jarisch-Herxheimer reaction	Réaction de Jarisch-Herxheimer
Jaundice	Jaunisse
Jaundice cholestatic	Jaunisse cholestatique
Jaundice hepatocellular	Jaunisse hépatocellulaire
Jaundice neonatal	Jaunisse néonatale
Jaw disorder	Trouble de la m?choire
Jaw stiffness	Rigidité de la m?choire
Jerky movement NOS	Mouvement saccadé NOS
Jessner's lymphocytic infiltration	Infiltration lymphocytaire de Jessner
Joint contracture	Contracture articulaire
Joint crepitation	Crépitation articulaire
Joint destruction	Destruction conjointe
Joint dislocation	Luxation articulaire
Joint effusion	Épanchement articulaire
Joint hyperextension	Hyperextension articulaire
Joint injury	Blessure articulaire
Joint instability	Instabilité articulaire
Joint lock	Serrure commune
Joint range of motion decreased	Amplitude articulaire réduite
Joint related signs and symptoms	Signes et symptômes liés aux articulations
Joint sprain	Entorse articulaire
Joint stiffness	Raideur articulaire
Joint swelling	Gonflement des articulations
Joint tenderness	Tendresse articulaire
Joint tuberculosis	Tuberculose articulaire
Judgement impaired	Jugement altéré
Junctional bradycardia	Bradycardie jonctionnelle
Junctional tachycardia	Tachycardie jonctionnelle
Juvenile idiopathic arthritis	Arthrite juvénile idiopathique
Juvenile myoclonic epilepsy	Épilepsie myoclonique juvénile
Kaluresis	Kalur?se
Kaposi's sarcoma	le sarcome de Kaposi
Kaposi's sarcoma AIDS related	Le sarcome de Kaposi lié au SIDA
Kaposi's varicelliform eruption	Éruption varicelliforme de Kaposi
Kayser-Fleischer ring	Bague Kayser-Fleischer
Kearns-Sayre syndrome	Syndrome de Kearns-Sayre
Keloid scar	Cicatrice chélo?de
Keratic precipitates	Les précipités kératiques
Keratitis	Kératite
Keratitis bacterial	Kératite bactérienne
Keratitis fungal	Champignon de kératite
Keratitis sicca	Keratitis sicca
Keratoacanthoma	Kératoacanthome
Keratoconjunctivitis	Kératoconjonctivite
Keratoconjunctivitis sicca	Kératoconjonctivite s?che
Keratoconus	Kératocône
Keratopathy	Kératopathie
Keratosis	Kératose
Keratosis follicular	Kératose folliculaire
Keratosis palmaris	Kératose palmaris
Keratosis pilaris	Kératose pilaire
Ketoacidosis	Acidocétose
Ketogenic diet	Régime cétog?ne
Ketonemia	Cétonémie
Ketonuria	Ketonuria
Ketosis	Cétose
Kidney fibrosis	Fibrose rénale
Kidney function abnormal	Fonction rénale anormale
Kidney infection	Infection rénale
Kidney transplant rejection	Rejet d'une greffe de rein
Klebsiella sepsis	Klebsiella sepsis
Klinefelter's syndrome	Syndrome de Klinefelter
Knee deformity	Déformation du genou
Knee pain	Douleur au genou
Knee sprain	Entorse du genou
Koebner phenomenon	Phénom?ne de Koebner
Korsakoff's psychosis (non-alcoholic)	Psychose de Korsakoff (non alcoolique)
Kounis syndrome	Syndrome de Kounis
Kyphosis	Cyphose
Labile blood pressure	Pression artérielle labile
Labile hypertension	Hypertension labile
Laboratory test abnormal	Test de laboratoire anormal
Labored breathing	Respiration difficile
Labour pain	La douleur du travail
Labyrinthine disorder	Trouble labyrinthique
Labyrinthitis	Labyrinthite
Laceration	Lacération
Lack of drug effect	Absence d'effet médicamenteux
Lack of spontaneous speech	Manque de discours spontané
