5'nucleotidase increased	5'nucléotidase augmentée
Hypertensive nephropathy	Néphropathie hypertensive
Hyperthyroidism	Hyperthyroïdie
Hypertonia	Hypertonie
Hypertonic bladder	Vessie hypertonique
Hypertonicity	Hypertonicité
Hypertransaminasaemia	Hypertransaminasaemia
Hypertrichosis	Hypertrichose
Hypertriglyceridaemia	Hypertriglycéridémie
Hypertrophic cardiomyopathy	Cardiomyopathie hypertrophique
Hypertrophic osteoarthropathy	Arthrose hypertrophique
Hypertrophic scar	Cicatrice hypertrophique
Hypertrophy	Hypertrophie
Hypertrophy of breast	Hypertrophie du sein
Hyperuricaemia	Hyperuricémie
Hyperuricosuria	Hyperuricosurie
Hyperventilation	Hyperventilation
Hypervigilance	Hypervigilance
Hyperviscosity syndrome	Syndrome d'hyperviscosité
Hypervitaminosis A	Hypervitaminose A
Hypervitaminosis D	Hypervitaminose D
Hyphaema	Hyphaème
Hypnagogic hallucination	Hallucination hypnagogique
Hypnopompic hallucination	Hallucination hypnopompique
Hypoactive sexual desire disorder	Trouble du désir sexuel hypoactif
Hypoaesthesia	Hypoesthésie
Hypoaesthesia eye	Oeil d'hypoesthésie
Hypoaesthesia facial	Soin du visage hypoesthésie
Hypoaesthesia oral	Hypoesthésie orale
Hypoalbuminaemia	Hypoalbuminémie
Hypoaldosteronism	Hypoaldostéronisme
Hypoalgesia	Hypoalgésie
Hypocalcaemia	Hypocalcémie
Hypocalcemic tetany	Tétanie hypocalcémique
Hypocalciuria	Hypocalciurie
Hypocapnia	Hypocapnie
Hypochloraemia	Hypochlorémie
Hypocholesterolaemia	Hypocholestérolémie
Hypochondriasis	Hypocondrie
Hypochromasia	Hypochromasie
Hypochromic anaemia	Anémie hypochromique
Hypochromic microcytic anemia	Anémie microcytaire hypochromique
Hypoesthesia tongue	Langue d'hypoesthésie
Hypofibrinogenaemia	Hypofibrinogenaemia
Hypogammaglobulinaemia	Hypogammaglobulinémie
Hypogeusia	Hypogeusie
Hypoglycaemia	Hypoglycémie
Hypoglycaemia neonatal	Hypoglycémie néonatale
Hypoglycaemic coma	Coma hypoglycémique
Hypoglycaemic episode	Épisode hypoglycémique
Hypoglycaemic seizure	Crise hypoglycémique
Hypoglycaemic unconsciousness	Inconscience hypoglycémique
Hypoglycemic reaction	Réaction hypoglycémique
Hypogonadism	Hypogonadisme
Hypogonadism female	Hypogonadisme féminin
Hypogonadism male	Hypogonadisme masculin
Hypohidrosis	Hypohidrose
Hypokalaemia	Hypokaliémie
Hypokinesia	Hypokinésie
Hypolipidaemia	Hypolipidémie
Hypomagnesaemia	Hypomagnésémie
Hypomania	Hypomanie
Hypomenorrhoea	Hypoménorrhée
Hyponatraemia	Hyponatrémie
Hyponatraemic	Hyponatrémique
Hypoparathyroidism	Hypoparathyroïdie
Hypoperfusion	Hypoperfusion
Hypophagia	Hypophagie
Hypophosphataemia	Hypophosphatémie
Hypophosphataemic rickets	Rachitisme hypophosphatémique
Hypopituitarism	Hypopituitarisme
Hypoplasia enamel	Émail hypoplasie
Hypoplasia erythroid	Hypoplasie érythroïde
Hypoplastic anaemia	Anémie hypoplasique
Hypopnea syndrome	Syndrome d'hypopnée
Hypopnoea	Hypopnée
Hypoproteinaemia	Hypoprotéinémie
Hypoprothrombinaemia	Hypoprothrombinémie
Hypopyon	Hypopyon
Hyporeflexia	Hyporeflexie
Hyposmia	Hyposmie
Hyposthenuria	Hyposthénurie
Hypotension	Hypotension
Hypotension asymptomatic	Hypotension asymptomatique
Hypotension orthostatic symptomatic	Hypotension orthostatique symptomatique
Hypotension symptomatic	Hypotension symptomatique
Hypotensive	Hypotensive
Hypothermia	Hypothermie
Hypothrombinaemia	Hypothrombinémie
Hypothyroidism	Hypothyroïdie
Hypotonia	Hypotonie
Hypotonia neonatal	Hypotonie néonatale
Hypotonic-hyporesponsive episode	Épisode hypotonique-hyporéactif
Hypotony of eye	Hypotonie de l'?il
Hypotrichosis	Hypotrichose
Hypouricaemia	Hypouricémie
Hypoventilation	Hypoventilation
Hypovitaminosis	Hypovitaminose
Hypovolaemia	Hypovolémie
Hypovolaemic shock	Choc hypovolémique
Hypoxemia	Hypoxémie
Hypoxia	Hypoxie
Hypoxic-ischaemic encephalopathy	Encéphalopathie hypoxique-ischémique
Hypsarrhythmia	Hypsarythmie
Hysteria	Hystérie
Ichthyosis	Ichtyose
Ichthyosis acquired	Ichtyose acquise
Ichthyosis vulgaris	Ichtyose vulgaire
Idiopathic edema	?dème idiopathique
Idiopathic generalised epilepsy	Épilepsie généralisée idiopathique
Idiopathic hirsutism	Hirsutisme idiopathique
Idiopathic hypertrophic subaortic stenosis	Sténose sous-aortique hypertrophique idiopathique
Idiopathic pneumonia syndrome	Syndrome de pneumonie idiopathique
Idiopathic pulmonary arterial hypertension	Hypertension artérielle pulmonaire idiopathique
Idiopathic pulmonary fibrosis	Fibrose pulmonaire idiopatique
Idiopathic thrombocytopenia	Thrombocytopénie idiopathique
Idiopathic thrombocytopenic purpura	Purpura thrombocytopénique idiopathique
Idiopathic torsion dystonia	Dystonie de torsion idiopathique
Idiosyncratic drug reaction	Réaction médicamenteuse idiosyncratique
IIIrd nerve paralysis	IIIe paralysie nerveuse
Ileal obstruction	Obstruction iléale
Ileal perforation	Perforation iléale
Ileal ulcer	Ulcère iléal
Ileitis	Ileitis
Ileitis regional	Ileitis régional
Ileus	Ileus
Ileus paralytic	Iléus paralytique
Ill-defined disorder	Trouble mal défini
Illusion	Illusion
Imbalance hormonal	Déséquilibre hormonal
Immediate post-injection reaction	Réaction post-injection immédiate
Imminent abortion	Avortement imminent
Immobile	Immobile
Immune complex reaction	Réaction complexe immunitaire
Immune status	Statut immunitaire
Immune system disorder	Trouble du système immunitaire
Immune-mediated necrotising myopathy	Myopathie nécrosante à médiation immunitaire
Immunocompromised	Immunodéprimé
Immunodeficiency	Immunodéficience
Immunodeficiency common variable	Variable commune d'immunodéficience
Immunoglobulin G low	Immunoglobuline G faible
Immunoglobulins decreased	Immunoglobulines diminuées
Immunoglobulins increased	Augmentation des immunoglobulines
Immunology test	Test d'immunologie
Immunosuppressant drug level increased	Augmentation du niveau de médicament immunosuppresseur
Immunosuppression	Immunosuppression
Impaired fasting glucose	Glycémie à jeun altérée
Impaired gastric emptying	Vidange gastrique altérée
Impaired healing	Guérison altérée
Impairment of attention	Dépréciation de l'attention
Impatience	Impatience
Imperforate hymen	Imperforation d'hymen
Impetigo	Impétigo
Implant breakage	Rupture d'implant
Implant expulsion	Expulsion d'implant
Implant infection	Infection d'implant
Implant site pain	Douleur au site implantaire
Implant site reaction	Réaction au site implantaire
Implantation complication	Complication d'implantation
Imprisonment	Emprisonnement
Impulse-control disorder	Trouble du contrôle des impulsions
Inappropriate affect	Affect inapproprié
Inappropriate antidiuretic hormone secretion	Sécrétion inappropriée d'hormone antidiurétique
Inborn error of metabolism	Erreur innée du métabolisme
Incessant ventricular tachycardia	Tachycardie ventriculaire incessante
Incision site complication	Complication du site d'incision
Incision site haematoma	Hématome au site d'incision
Incision site haemorrhage	Hémorragie au site d'incision
Incision site oedema	?dème au site d'incision
Incision site pain	Douleur au site d'incision
Incisional hernia	Hernie incisive
Inclusion conjunctivitis	Conjonctivite d'inclusion
Incoherent	Incohérent
Incomplete bladder emptying	Vidange incomplète de la vessie
Incomplete precocious puberty	Puberté précoce incomplète
Incontinence	Incontinence
Increased activity	Activité accrue
Increased agitation	Agitation accrue
Increased anticoagulant effect	Effet anticoagulant accru
Increased appetite	Augmentation de l'appétit
Increased bronchial secretion	Augmentation de la sécrétion bronchique
Increased effect	Effet accru
Increased insulin requirement	Augmentation des besoins en insuline
Increased prolactin level	Augmentation du niveau de prolactine
Increased skin sensitivity	Augmentation de la sensibilité cutanée
Increased tendency to bruise	Tendance accrue aux ecchymoses
Increased thirst	Augmentation de la soif
Increased upper airway secretion	Augmentation de la sécrétion des voies aériennes supérieures
Increased viscosity of bronchial secretion	Augmentation de la viscosité de la sécrétion bronchique
Induration	Induration
Inevitable abortion	Avortement inévitable
Infantile colic	Colique infantile
Infantile spasms	Spasmes infantiles
Infarction	Infarctus
Infarction mesenteric	Infarctus mésentérique
Infected bites	Morsures infectées
Infected cyst	Kyste infecté
Infection	Infection
Infection induced	Infection induite
Infection mixed	Infection mixte
Infection parasitic	Infection parasitaire
Infection pseudomonas aeruginosa	Infection pseudomonas aeruginosa
Infection reactivation	Réactivation de l'infection
Infection susceptibility increased	La sensibilité aux infections a augmenté
Infectious meningitis	Méningite infectieuse
Infectious mononucleosis	Mononucléose infectieuse
Infectious peritonitis	Péritonite infectieuse
Infectious pneumonitis	Pneumonite infectieuse
Infectious thyroiditis	Thyroïdite infectieuse
Infective myositis	Myosite infectieuse
Infective otitis externa	Otite externe infectieuse
Infective tenosynovitis	Ténosynovite infectieuse
Inferior myocardial infarction	Infarctus du myocarde inférieur
Inferior vena cava syndrome	Syndrome de la veine cave inférieure
Infertility	Infertilité
Infertility female	Infertilité féminine
Infertility male	Infertilité masculine
Infestation	Infestation
Infestation NOS	Infestation SAI
Inflammation	Inflammation
Inflammation localised	Inflammation localisée
Inflammatory bowel disease	Maladie inflammatoire de l'intestin
Inflammatory swelling	Gonflement inflammatoire
Inflicted injury	Blessure infligée
Influenza	Grippe
Influenza A virus infection	Infection par le virus de la grippe A
Influenza like illness	Maladie de type grippal
Influenza viral infections	Infections virales grippales
Influenza-like symptoms	Symptômes pseudo-grippaux
Infrequent bowel movements	Mouvements intestinaux peu fréquents
Infusion related pain	Douleur liée à la perfusion
Infusion related reaction	Réaction liée à la perfusion
Infusion site burning	Brûlure du site de perfusion
Infusion site erythema	Érythème au site de perfusion
Infusion site extravasation	Extravasation du site de perfusion
Infusion site hypersensitivity	Hypersensibilité au site de perfusion
Infusion site induration	Induration du site de perfusion
Infusion site infection	Infection au site de perfusion
Infusion site inflammation	Inflammation au site de perfusion
Infusion site irritation	Irritation du site de perfusion
Infusion site oedema	?dème au site de perfusion
Infusion site pain	Douleur au point de perfusion
Infusion site paraesthesia	Paresthésie au site de perfusion
Infusion site phlebitis	Phlébite au point de perfusion
Infusion site pruritus	Prurit au site de perfusion
Infusion site rash	Éruption cutanée au site de perfusion
Infusion site reaction	Réaction au site de perfusion
Infusion site reactions	Réactions au site de perfusion
Infusion site swelling	Gonflement au site de perfusion
Infusion site thrombophlebitis	Thrombophlébite au site de perfusion
Infusion site thrombosis	Thrombose au site de perfusion
Infusion site urticaria	Urticaire au site de perfusion
Infusion site warmth	Chaleur au point de perfusion
Ingrowing nail	Ongle incarnant
Ingrown hair	Poils incarnés
Inguinal hernia	Hernie inguinale
Inhibition of enzyme activity	Inhibition de l'activité enzymatique
Initial insomnia	Insomnie initiale
Injection site abscess	Abcès au site d'injection
Injection site abscess sterile	Abcès au point d'injection stérile
Injection site atrophy	Atrophie au site d'injection
Injection site bruising	Ecchymoses au site d'injection
Injection site burning	Brûlure au site d'injection
Injection site cellulitis	Cellulite au site d'injection
Injection site coldness	Froideur au point d'injection
Injection site cyst	Kyste au site d'injection
Injection site dermatitis	Dermatite au site d'injection
Injection site discolouration	Décoloration du site d'injection
Injection site discomfort	Gêne au point d'injection
Injection site dryness	Sécheresse du site d'injection
Injection site erythema	Érythème au site d'injection
Injection site exfoliation	Exfoliation au site d'injection
Injection site extravasation	Extravasation au site d'injection
Injection site fibrosis	Fibrose au site d'injection
Injection site granuloma	Granulome au site d'injection
Injection site haematoma	Hématome au site d'injection
Injection site haemorrhage	Hémorragie au site d'injection
Injection site hypersensitivity	Hypersensibilité au site d'injection
Injection site hypertrophy	Hypertrophie au site d'injection
Injection site induration	Induration au site d'injection
Injection site infection	Infection au site d'injection
Injection site inflammation	Inflammation au site d'injection
Injection site injury	Blessure au site d'injection
Injection site irritation	Irritation au point d'injection
Injection site joint pain	Douleurs articulaires au site d'injection
Injection site mass	Masse du site d'injection
Injection site necrosis	Nécrose au site d'injection
Injection site nodule	Nodule au site d'injection
Injection site pain	Douleur au site d'injection
Injection site pallor	Pâleur du site d'injection
Injection site paraesthesia	Paresthésie au site d'injection
Injection site phlebitis	Phlébite au site d'injection
Injection site pigmentation changes	Changements de pigmentation au site d'injection
Injection site pruritus	Prurit au site d'injection
Injection site reaction	Réaction au site d'injection
Injection site stinging	Piqûre au site d'injection
Injection site swelling	Gonflement au site d'injection
Injection site tenderness	Sensibilité au site d'injection
Injection site thrombosis	Thrombose au site d'injection
Injection site ulcer	Ulcère au point d'injection
Injection site urticaria	Urticaire au site d'injection
Injection site vesicles	Vésicules au site d'injection
Injection site warmth	Chaleur au point d'injection
Injury	Blessure
Injury asphyxiation	Asphyxie par blessure
Injury associated with device	Blessure associée à l'appareil
Injury corneal	Blessure cornéenne
Inner ear disorder	Trouble de l'oreille interne
Inner ear infection	Infection de l'oreille interne
Insect bite NOS	Piqûre d'insecte NSA
Insomnia	Insomnie
Insomnia NEC	Insomnie NEC
Insomnia exacerbated	Insomnie exacerbée
Instability vasomotor	Instabilité vasomotrice
Instillation site irritation	Irritation du site d'instillation
Instillation site pain	Douleur au site d'instillation
Insulin C-peptide decreased	Insuline C-peptide diminuée
Insulin C-peptide increased	Augmentation de l'insuline C-peptide
Insulin autoimmune syndrome	Syndrome auto-immun de l'insuline
Insulin hypoglycemia	Hypoglycémie à l'insuline
Insulin resistance	Résistance à l'insuline
Insulin resistant diabetes	Diabète insulino-résistant
Insulinoma	Insulinome
Intentional drug misuse	Abus intentionnel de drogues
Intentional injury	Blessure intentionnelle
Intentional misuse	Détournement intentionnel
Intentional self-injury	Auto-blessure intentionnelle
Intercapillary glomerulosclerosis	Glomérulosclérose intercapillaire
Intermittent claudication	Claudication intermittente
Intermittent explosive disorder	Le trouble explosif intermittent
Intermittent fever	Fièvre intermittente
Intermittent headache	Céphalées intermittentes
Internal hordeolum	Hordeolum interne
International normalised ratio abnormal	Ratio normalisé international anormal
International normalised ratio decreased	Ratio normalisé international diminué
International normalised ratio increased	Augmentation du ratio normalisé international
Interstitial lung disease	Maladie pulmonaire interstitielle
Interstitial pneumonia	Pneumonie interstitielle
Intertrigo	Intertrigo
Intertrigo candida	Intertrigo candida
Intervertebral disc degeneration	Dégénérescence du disque intervertébral
Intervertebral disc disorder	Trouble du disque intervertébral
Intervertebral disc protrusion	Protrusion de disque intervertébral
Intervertebral discitis	Discite intervertébrale
Intestinal atony	Atonie intestinale
Intestinal cramps	Crampes intestinales
Intestinal diaphragm disease	Maladie du diaphragme intestinal
Intestinal functional disorder	Trouble fonctionnel intestinal
Intestinal haemorrhage	Hémorragie intestinale
Intestinal hypomotility	Hypomotilité intestinale
Intestinal infarction	Infarctus intestinal
Intestinal infection due to staphylococcus	Infection intestinale due à un staphylocoque
Intestinal infections	Infections intestinales
Intestinal ischaemia	Ischémie intestinale
Intestinal mass	Masse intestinale
Intestinal necrosis	Nécrose intestinale
Intestinal obstruction	Obstruction intestinale
Intestinal parasitism, unspecified	Parasitisme intestinal, sans précision
Intestinal perforation	Perforation intestinale
Intestinal polyp	Polype intestinal
Intestinal pseudo-obstruction	Pseudo-obstruction intestinale
Intestinal stenosis	Sténose intestinale
Intestinal stoma complication	Complication de la stomie intestinale
Intestinal ulcer	Ulcère intestinal
Intoxication	Intoxication
Intra-abdominal haematoma	Hématome intra-abdominal
Intra-abdominal haemorrhage	Hémorragie intra-abdominale
Intracardiac thrombus	Thrombus intracardiaque
Intracranial aneurysm	Anévrisme intracrânien
Intracranial pressure increased	Augmentation de la pression intracrânienne
Intracranial venous sinus thrombosis	Thrombose du sinus veineux intracrânien
Intractable epilepsy	Épilepsie intraitable
Intractable hiccups	Hoquet intraitable
Intractable pain	Douleur intraitable
Intraductal proliferative breast lesion	Lésion mammaire proliférative intra-canalaire
Intranasal hypoaesthesia	Hypoesthésie intranasale
Intraocular pressure increased	Augmentation de la pression intraoculaire
Intraoperative floppy iris syndrome	Syndrome de l'iris de disquette peropératoire
Intraoperative hemorrhage	Hémorragie peropératoire
Intraoperative hypotension	Hypotension peropératoire
Intraspinal bleeding	Saignement intrarachidien
Intravascular large B-cell lymphoma	Lymphome intravasculaire à grandes cellules B
Intraventricular haemorrhage	Hémorragie intraventriculaire
Intussusception	Intussusception
Invasive bronchopulmonary aspergillosis	Aspergillose broncho-pulmonaire invasive
Invasive candidiasis	Candidose invasive
Involutional depression	Dépression involutive
Iodism	Iodisme
Iridocyclitis	Iridocyclite
Iris adhesions	Adhérences de l'iris
Iris disorder	Trouble de l'iris
Iris hyperpigmentation	Hyperpigmentation de l'iris
Iritis	Iritis
Iron binding capacity total	Capacité totale de liaison au fer
Iron deficiency	Carence en fer
Iron deficiency anaemia	Anémie ferriprive
Iron overload	Surcharge en fer
Irreversible renal failure	Insuffisance rénale irréversible
Irritability	Irritabilité
Irritable bowel syndrome	Syndrome de l'intestin irritable
Irritation gum	Gomme irritante
Ischaemia	Ischémie
Ischaemic cardiomyopathy	Cardiomyopathie ischémique
Ischaemic cerebral infarction	Infarctus cérébral ischémique
Ischaemic coronary artery disorders	Troubles coronariens ischémiques
Ischaemic hepatitis	Hépatite ischémique
Ischaemic neuropathy	Neuropathie ischémique
Ischaemic stroke	AVC ischémique
Ischial neuralgia	Névralgie ischiatique
Itch burning	Démangeaisons brûlantes
Itchy scalp	Démangeaisons du cuir chevelu
IUD complication	Complication du DIU
IUD expelled	DIU expulsé
Jacksonian seizures	Crises jacksoniennes
Jarisch-Herxheimer reaction	Réaction de Jarisch-Herxheimer
Jaundice	Jaunisse
Jaundice cholestatic	Jaunisse cholestatique
Jaundice hepatocellular	Jaunisse hépatocellulaire
Jaundice neonatal	Jaunisse néonatale
Jaw disorder	Trouble de la mâchoire
Jaw stiffness	Rigidité de la mâchoire
Jerky movement NOS	Mouvement saccadé NOS
Jessner's lymphocytic infiltration	Infiltration lymphocytaire de Jessner
Joint contracture	Contracture articulaire
Joint crepitation	Crépitation articulaire
Joint destruction	Destruction conjointe
Joint dislocation	Luxation articulaire
Joint effusion	Épanchement articulaire
Joint hyperextension	Hyperextension articulaire
Joint injury	Blessure articulaire
Joint instability	Instabilité articulaire
Joint lock	Serrure commune
Joint range of motion decreased	Amplitude articulaire réduite
Joint related signs and symptoms	Signes et symptômes liés aux articulations
Joint sprain	Entorse articulaire
Joint stiffness	Raideur articulaire
Joint swelling	Gonflement des articulations
Joint tenderness	Tendresse articulaire
Joint tuberculosis	Tuberculose articulaire
Judgement impaired	Jugement altéré
Junctional bradycardia	Bradycardie jonctionnelle
Junctional tachycardia	Tachycardie jonctionnelle
Juvenile idiopathic arthritis	Arthrite juvénile idiopathique
Juvenile myoclonic epilepsy	Épilepsie myoclonique juvénile
Kaluresis	Kalurèse
Kaposi's sarcoma	Sarcome de Kaposi
Kaposi's sarcoma AIDS related	Sarcome de Kaposi lié au SIDA
Kaposi's varicelliform eruption	Éruption varicelliforme de Kaposi
Kayser-Fleischer ring	Bague Kayser-Fleischer
Kearns-Sayre syndrome	Syndrome de Kearns-Sayre
Keloid scar	Cicatrice chéloïde
Keratic precipitates	Précipités kératiques
Keratitis	Kératite
Keratitis bacterial	Kératite bactérienne
Keratitis fungal	Champignon de kératite
Keratitis sicca	Keratitis sicca
Keratoacanthoma	Kératoacanthome
Keratoconjunctivitis	Kératoconjonctivite
Keratoconjunctivitis sicca	Kératoconjonctivite sèche
Keratoconus	Kératocône
Keratopathy	Kératopathie
Keratosis	Kératose
Keratosis follicular	Kératose folliculaire
Keratosis palmaris	Kératose palmaris
Keratosis pilaris	Kératose pilaire
Ketoacidosis	Acidocétose
Ketogenic diet	Régime cétogène
Ketonemia	Cétonémie
Ketonuria	Ketonuria
Ketosis	Cétose
Kidney fibrosis	Fibrose rénale
Kidney function abnormal	Fonction rénale anormale
Kidney infection	Infection rénale
Kidney transplant rejection	Rejet d'une greffe de rein
Klebsiella sepsis	Klebsiella sepsis
Klinefelter's syndrome	Syndrome de Klinefelter
Knee deformity	Déformation du genou
Knee pain	Douleur au genou
Knee sprain	Entorse du genou
Koebner phenomenon	Phénomène de Koebner
Korsakoff's psychosis (non-alcoholic)	Psychose de Korsakoff (non alcoolique)
Kounis syndrome	Syndrome de Kounis
Kyphosis	Cyphose
Labile blood pressure	Pression artérielle labile
Labile hypertension	Hypertension labile
Laboratory test abnormal	Test de laboratoire anormal
Labored breathing	Respiration difficile
Labour pain	Douleur du travail
Labyrinthine disorder	Trouble labyrinthique
Labyrinthitis	Labyrinthite
Laceration	Lacération
Lack of drug effect	Absence d'effet médicamenteux
Lack of spontaneous speech	Manque de discours spontané
Lacrimal disorder	Trouble lacrymal
Lacrimal duct obstruction	Obstruction du canal lacrymal
Lacrimal gland disorder	Trouble de la glande lacrymale
Lacrimal structural disorder	Trouble structurel lacrymal
Lacrimation	Lacrimation
Lacrimation abnormal NOS	Lacrymation anormale SAI
Lacrimation decreased	Lacrimation diminuée
Lacrimation increased	Lacrimation augmentée
Lactase deficiency	Carence en lactase
Lactate increased	Augmentation du lactate
Lactation female	Lactation femelle
Lactic acidosis	Acidose lactique
Lactic acidosis syndrome	Syndrome d'acidose lactique
Lactic dehydrogenase activity increased	Augmentation de l'activité de la déshydrogénase lactique
Lactose intolerance	Intolérance au lactose
Lacunar infarction	Infarctus lacunaire
Laennec's cirrhosis	Cirrhose de Laennec
Lambert-Eaton myasthenic syndrome	Syndrome myasthénique de Lambert-Eaton
Langerhans' cell histiocytosis	Histiocytose à cellules de Langerhans
Large intestinal haemorrhage	Grande hémorragie intestinale
Large intestinal obstruction	Grande obstruction intestinale
Large intestinal ulcer	Gros ulcère intestinal
Large intestine perforation	Perforation du gros intestin
Large intestine polyp	Polype du gros intestin
Laryngeal cancer	Cancer du larynx
Laryngeal disorder	Trouble laryngé
Laryngeal dystonia	Dystonie laryngée
Laryngeal haemorrhage	Hémorragie laryngée
Laryngeal neoplasm	Néoplasme laryngé
Laryngeal oedema	Oedème laryngé
Laryngeal pain	Douleur laryngée
Laryngitis	Laryngite
Laryngopharyngeal dysesthesia	Dysesthésie laryngopharyngée
Laryngopharyngitis	Laryngopharyngite
Laryngospasm	Laryngospasme
Laryngotracheal oedema	Oedème laryngotrachéal
Laryngotracheitis	Laryngotrachéite
Lassitude	Lassitude
Latent tetany	Tétanie latente
Latent tuberculosis	Tuberculose latente
Latex allergy	Allergie au latex
Lead poisoning	Empoisonnement au plomb
Learning disability	Trouble d'apprentissage
Learning disorder	Troubles d'apprentissage
Leber's hereditary optic atrophy neuropathy	Neuropathie d'atrophie optique héréditaire de Leber
Left ventricular dysfunction	Dysfonction ventriculaire gauche
Left ventricular ejection fraction decreased	Fraction d'éjection du ventricule gauche diminuée
Left ventricular failure	Insuffisance ventriculaire gauche
Left ventricular hypertrophy	Hypertrophie ventriculaire gauche
Left ventricular systolic dysfunction	Dysfonction systolique ventriculaire gauche
Left-sided ulcerative (chronic) colitis	Colite ulcéreuse (chronique) du côté gauche
Leg edema	Oedème des jambes
Leg pain	Douleur aux jambes
Leg ulcer	Ulcère de jambe
Legionella infection	Infection à Legionella
Leiomyoma	Léiomyome
Leiomyosarcoma	Léiomyosarcome
Leishmaniasis	Leishmaniose
Lennox-Gastaut syndrome	Syndrome de Lennox-Gastaut
Lenticular opacities	Opacités lenticulaires
Lenticular pigmentation	Pigmentation lenticulaire
Lentigo	Lentigo
Lentigo maligna	Lentigo maligna
Lepromatous leprosy	Lèpre lépromateuse
Leprosy	Lèpre
Leptomeningeal metastases	Métastases leptoméningées
Leriche syndrome	Syndrome de Leriche
Lethargy	Léthargie
Letterer-Siwe disease	Letterer-Siwe disease
Leukaemia	Leucémie
Leukaemia cutis	Leucémie cutanée
Leukaemia monocytic	Leucémie monocytaire
Leukaemic infiltration brain	Cerveau d'infiltration leucémique
Leukaemoid reaction	Réaction leucémoïde
Leukemia secondary	Leucémie secondaire
Leukocytoclastic vasculitis	Vascularite leucocytoclastique
Leukocytosis	Leucocytose
Leukoderma	Leucodermie
Leukoencephalopathy	Leucoencéphalopathie
Leukonychia	Leukonychia
Leukopenia	Leucopenie
Leukoplakia	Leucoplaquie
Leukoplakia oral	Leucoplaquie oral
Leukorrhea	Leucorrhée
Leukostasis	Leucostasie
Lhermitte's sign	Signe de Lhermitte
Libido decreased	Libido diminuée
Libido disorder	Trouble de la libido
Libido increased	Libido augmentée
Lice infestation	Infestation par les poux
Lichen planus	Lichen planus
Lichen sclerosus	Lichen scléro-atrophique
Lichen simplex chronicus	Lichen simplex chronicus
Lichenification	Lichénification
Lichenoid keratosis	Kératose lichénoïde
Lid sulcus deepened	Couvercle sulcus approfondi
Ligament injury	Lésion ligamentaire
Ligament sprain	Entorse ligamentaire
Light anaesthesia	Anesthésie légère
Light sleep	Sommeil léger
Lightheadedness	Étourdissements
Limb deformity	Déformation des membres
Limb discomfort	Gêne des membres
Limb injury	Blessure aux membres
Limb malformation	Malformation des membres
Limb paresis	Parésie des membres
Limb reduction defect	Défaut de réduction des membres
Linear IgA disease	Maladie à IgA linéaire
Lip blister	Ampoule de lèvre
Lip burning sensation of	Sensation de brûlure des lèvres
Lip dry	Lèvres sèches
Lip haemorrhage	Hémorragie labiale
Lip oedema	?dème des lèvres
Lip pain	Douleur aux lèvres
Lip swelling	Gonflement des lèvres
Lip ulceration	Ulcération des lèvres
Lipase abnormal	Lipase anormale
Lipase increased	Lipase augmentée
Lipid metabolism disorder	Trouble du métabolisme lipidique
Lipidosis	Lipidose
Lipids abnormal	Lipides anormaux
Lipids increased	Augmentation des lipides
Lipoatrophy	Lipoatrophie
Lipodystrophy	Lipodystrophie
Lipodystrophy acquired	Acquisition d'une lipodystrophie
Lipoedema	Lipoedema
Lipohypertrophy	Lipohypertrophie
Lipoid nephrosis	Néphrose lipoïde
Lipoma	Lipome
Lipomatosis	Lipomatose
Liposarcoma	Liposarcome
Listeriosis	Listériose
Lithium poisoning	Intoxication au lithium
Lithium toxicity	Toxicité du lithium
Livedo reticularis	Livedo reticularis
Liver abscess	Abcès du foie
Liver disorder	Trouble hépatique
Liver fatty	Foie gras
Liver fatty deposition	Dépôt graisseux hépatique
Liver function test abnormal	Test de fonction hépatique anormal
Liver function test normal	Test de fonction hépatique normal
Liver injury	Lésion hépatique
Liver nodule	Nodule hépatique
Liver tenderness	Sensibilité au foie
Liver transplant rejection	Rejet d'une greffe de foie
Lividity	Lividité
Lobar pneumonia	Pneumonie lobaire
Lobular breast carcinoma in situ	Carcinome lobulaire du sein in situ
Local reaction	Réaction locale
Local swelling	Gonflement local
Local throat irritation	Irritation locale de la gorge
Localised infection	Infection localisée
Localised intraabdominal fluid collection	Collecte de liquide intra-abdominale localisée
Localised numbness	Engourdissement localisé
Localised oedema	Oedème localisé
Localised skin reaction	Réaction cutanée localisée
Localized erythema	Érythème localisé
Localized exfoliation	Exfoliation localisée
Localized osteoarthritis	Arthrose localisée
Localized rash	Éruption cutanée localisée
Locally advanced breast cancer	Cancer du sein localement avancé
Lockjaw	Tétanos
Loeffler's syndrome	Syndrome de Loeffler
Logorrhoea	Logorrhée
Loin pain	Douleurs aux reins
Long QT syndrome	Syndrome du QT long
Long QT syndrome congenital	Syndrome du QT long congénital
Long-term memory loss	Perte de mémoire à long terme
Loose stools	Selles molles
Lordosis	Lordose
Loss of confidence	Perte de confiance
Loss of consciousness	Perte de conscience
Loss of control of legs	Perte de contrôle des jambes
Loss of libido	Perte de libido
Loss of proprioception	Perte de proprioception
Loss of skin markings	Perte de marques cutanées
Low back pain	Douleur dans le bas du dos
Low birth weight baby	Bébé de faible poids à la naissance
Low density lipoprotein increased	Augmentation des lipoprotéines de basse densité
Low income	Faible revenu
Low pH	pH bas
Low set ears	Oreilles basses
Lower gastrointestinal haemorrhage	Hémorragie gastro-intestinale inférieure
Lower limb fracture	Fracture du membre inférieur
